EID,Title,Authors,Year,Source,DOI,Citations,Abstract,TechTerm
2-s2.0-105015457695,multimodal ai for seamless communication: integrating computer vision and speech translation with llms,Kothari P.V.,2025,2025 IEEE 6th Annual World AI Iot Congress Aiiot 2025,10.1109/aiiot65859.2025.11105332,0.0,"Multimodal Artificial Intelligence (AI) dramatically enhances linguistically and visually AI-aided communication. This study proposes a new framework integrating computer vision, speech translation and large language models (LLMs) for context-sensitive and real-time communication. The proposed system employs computer vision for scene comprehension and text capturing, speech translation for real-time multilingual conversation, and LLMs for comprehension and response generation. Combining these technologies enhances interaction between machines and humans, provides assistive technology solutions for people with disabilities and aids communication in different languages in various settings. In this work, the framework utilises a multi-stream fusion strategy to enable coherent and pertinent responses to be generated during information processing across various modalities. A system benchmark evaluation confirmed the system's effectiveness in speech-to-text, image-to-text and multilingual voice recognition tasks instead of classical single-modality methods. Benchmark results show a BLEU score of 41.24, outperforming mBART and the Transformer baseline, while remaining competitive with M2M-100. The results emphasise the role of multimodal AI in overcoming communication barriers and their drastic use in educational purposes, as well as in healthcare, customer relations, and international settings and collaborations. © 2025 Elsevier B.V., All rights reserved.",machine translation
2-s2.0-105006721121,5g-optimized deep learning framework for real-time multilingual speech-to-speech translation in telemedicine systems,Sravan M.V.M.N.,2025,Informatica Slovenia,10.31449/inf.v49i2.7826,0.0,"Telemedicine has revolutionized healthcare by enabling virtual consultations, yet it still faces challenges from linguistic barriers and the need for real-time, scalable communication. Current systems typically address isolated tasks like speech recognition or symptom classification, lacking a unified solution for multilingual doctor-patient interactions. To address this, we present a 5g-optimized Deep Learning Framework that integrates advanced speech recognition, neural machine translation, and text-to-speech synthesis into a seamless Speech-to-Speech Workflow (STSW). Specifically, our framework utilizes finetuned OpenAI Whisper for speech recognition, a Marian MT model fine-tuned on multilingual medical corpora for translation, and Tacotron 2-based neural TTS for speech synthesis. Each model is domain-adapted to handle complex medical terminologies. We implement the framework over 5G-enabled edge computing infrastructure, ensuring real-time performance with ultra-low latency. Experimental results demonstrate the effectiveness of the proposed system, achieving a Word Error Rate (WER) of 0.12, a BLEU score of 0.85 for translation quality, and a Mean Opinion Score (MOS) of 4.5 for the naturalness of synthesized speech. Furthermore, our framework delivers an end-to-end latency of 2.1 seconds, outperforming existing approaches. This integration bridges communication gaps in telemedicine, facilitating accurate multilingual conversations and scalable healthcare delivery across diverse geographies. © 2025 Elsevier B.V., All rights reserved.",machine translation
2-s2.0-105010201234,a systematic multimodal assessment of ai machine translation tools for enhancing access to critical care education internationally,Chen C.L.,2025,BMC Medical Education,10.1186/s12909-025-07452-9,0.0,"Background: Language barriers pose a significant barrier to expanding access to critical care education worldwide. Machine translation (MT) offers significant promise to increase accessibility to critical care content, and has rapidly evolved using newer artificial intelligence frameworks and large language models. The best approach to systematically apply and evaluate these tools, however, remains unclear. Methods: We developed a multimodal method to evaluate translations of critical care content used as part of an established international critical care education program. Four freely-available MT tools were selected (DeepL™, Google Gemini™, Google Translate™, Microsoft CoPilot™) and used to translate selected phrases and paragraphs into Chinese (Mandarin), Spanish, and Ukrainian. A human translation performed by a professional medical translator was used for comparison. These translations were compared using 1) blinded bilingual clinician evaluations using anchored Likert domains of fluency, adequacy, and meaning; 2) automated BiLingual Evaluation Understudy (BLEU) scores; and 3) validated system usability scale to assess the ease of use of MT tools. Blinded bilingual clinician evaluations were calculated as individual domains and averaged composite scores. Results: Blinded clinician composite scores were highest for human translation (Chinese), Google Gemini (Spanish), and Microsoft CoPilot (Ukrainian). Microsoft CoPilot (Chinese) and Google Translate (Spanish and Ukrainian) earned the lowest scores. All Chinese and Spanish versions received “understandable to good” or “high quality” BLEU scores, while Ukrainian overall scored “hard to get the gist” except using Microsoft CoPilot. Usability scores were highest with DeepL (Chinese), Google Gemini (Spanish), and Google Translate (Ukrainian), and lower with Microsoft CoPilot (Chinese and Ukrainian) and Google Translate (Spanish). Conclusion: No single MT tool performed best across all metrics and languages, highlighting the importance of routine assessment of these tools during educational activities given their rapid ongoing evolution. We offer a multimodal evaluation methodology to aid this assessment as medical educators expand their use of MT in international educational programs. © 2025 Elsevier B.V., All rights reserved.",machine translation
2-s2.0-85201103200,use of speech-to-text translation resources to address communication barriers in patients with hearing loss: a systematic review,Ferraro T.,2024,Otology and Neurotology,10.1097/mao.0000000000004272,0.0,"Objective: Patients with concomitant limited English proficiency (LEP) and hearing loss may experience communication barriers, not fully mitigated by traditional interpreter services. Although there is no clear consensus on the most reliable and optimal resources for these patients, speech-to-text (STT) applications with translation capability may bridge these barriers. We review the existing literature applying STT translation programs in clinical settings and identify commercially available STT translation resources to evaluate their prospective application in the otology setting. Databases Reviewed: PubMed MEDLINE, Embase, and Web of Science. Methods: A systematic review of English language peer-reviewed literature was conducted, examining STT translation in clinical settings. An additional search identifying STT software with translation capabilities was completed. Results: Seven out of 591 unique citations met the inclusion criteria, and 29 unique STT translation applications were identified, supporting up to 140 languages. Stakeholders endorse positive perceptions of STT translation programs. Facilitators to implementation included time and cost feasibility, whereas barriers included risk of mistranslation and inability to assess accuracy. Ongoing machine-learning efforts are underway for developing and improving STT translation technologies, but there is paucity of literature evaluating their application in patients with hearing loss. Conclusions: Small studies have suggested an acceptable level of accuracy for STT translation programs as adjunctive to standard of care services. Further work should proactively address implementation challenges with special attention to use of these technologies for patients with concomitant LEP and HL, while supporting additional technological advancement for application of these technologies in otology practice. © 2024 Elsevier B.V., All rights reserved.",machine translation
2-s2.0-85216254679,artificial intelligence in healthcare translation: a contemporary systematic review,Raído V.E.,2024,Social Impact of Automating Translation an Ethics of Care Perspective on Machine Translation,10.4324/9781003465522-7,0.0,"Artificial intelligence (AI) is revolutionizing various sectors, with healthcare translation emerging as a pivotal area of influence. In an increasingly globalized world, where linguistic and cultural barriers often complicate healthcare interactions, AI-enabled translations play a paramount role. This chapter comprehensively reviews the current role of AI in healthcare translation, exploring the promises and challenges of tools like neural speech and machine translation (MT), and large language models (LLMs). These tools aim to make complex medical terminologies accessible and bridge linguistic divides in doctor–patient communications. Despite their transformative potential, the integration of AI technologies into healthcare remains nascent. This systematic review elaborates on the interplay of AI and natural language processing (NLP) in healthcare, examines medical translation apps, and assesses the efficacy of existing commercial MT tools. The chapter underscores that the fusion of AI, NLP, and translation is not just about computational prowess but also about ensuring clear, accurate, empathic, and ethically grounded communication in healthcare, emphasizing the indispensable synergy of human and machine. © 2025 Elsevier B.V., All rights reserved.",machine translation
2-s2.0-85199484282,transcending language barriers: can chatgpt be the key to enhancing multilingual accessibility in health care?,Gulati V.,2024,Journal of the American College of Radiology,10.1016/j.jacr.2024.05.009,24.0,"Objective: To explore the capabilities of Chat Generative Pre-trained Transformer (ChatGPT) for the purpose of simplifying and translating radiology reports into Spanish, Hindi, and Russian languages, with comparisons to its performance in simplifying to the English language. Methods: Fifty deidentified abdomen-pelvis CT reports were fed to ChatGPT (4.0), instructing it to simplify and translate the report. The processed reports were rated on factual correctness (category 1), potential harmful errors (category 2), completeness (category 3), and explanation of medical terms (category 4). The translated versions were also rated on the quality of translation (category 5). The scores in each category were compared between the translated versions and each translated version was compared with the English version in the first four categories. The original reports and the simplified English reports were rated on the Flesch Reading Ease Score and the Flesch Kincaid Grade Level. Results: The Spanish translation outperformed the Hindi and Russian version significantly in categories 1 and 3 (P < .05). All translated versions performed significantly worse compared with the English version in category 4 (P < .001). Notably, the Hindi translated version performed significantly worse in all four categories (P < .05). The Russian translated version was also significantly worse in category 3 (P < .05). In the first three categories, the Spanish translation, and in the first two categories, the Russian translation demonstrated no statistically significant difference from the English version. No statistically significant difference was observed in the Flesch Reading Ease Score and Flesch Kincaid Grade Level of the simplified English reports. Typographical errors in the original reports negatively affected the translation. Conclusion: ChatGPT demonstrates potential ability in translating reports and communicating pertinent clinical information with limited errors. More training and tailoring are required for languages that are not as commonly used in medical literature. Large language models can be used for translating and simplifying radiology reports, potentially improving access to health care and helping reduce health care costs. © 2024 Elsevier B.V., All rights reserved.",transformer
2-s2.0-85205263513,artificial intelligence in multilingual interpretation and radiology assessment for clinical language evaluation (ai-miracle),Khanna P.,2024,Journal of Personalized Medicine,10.3390/jpm14090923,6.0,"The AI-MIRACLE Study investigates the efficacy of using ChatGPT 4.0, a large language model (LLM), for translating and simplifying radiology reports into multiple languages, aimed at enhancing patient comprehension. The study assesses the model’s performance across the most spoken languages in the U.S., emphasizing the accuracy and clarity of translated and simplified radiology reports for non-medical readers. This study employed ChatGPT 4.0 to translate and simplify selected radiology reports into Vietnamese, Tagalog, Spanish, Mandarin, and Arabic. Hindi was used as a preliminary test language for validation of the questionnaire. Performance was assessed via Google form surveys distributed to bilingual physicians, which assessed the translation accuracy and clarity of simplified texts provided by ChatGPT 4. Responses from 24 participants showed mixed results. The study underscores the model’s varying success across different languages, emphasizing both potential applications and limitations. ChatGPT 4.0 shows promise in breaking down language barriers in healthcare settings, enhancing patient comprehension of complex medical information. However, the performance is inconsistent across languages, indicating a need for further refinement and more inclusive training of AI models to handle diverse medical contexts and languages. The study highlights the role of LLMs in improving healthcare communication and patient comprehension, while indicating the need for continued advancements in AI technology, particularly in the translation of low-resource languages. © 2024 Elsevier B.V., All rights reserved.",large language model
2-s2.0-85204287368,synthetic arabic medical dialogues using advanced multi-agent llm techniques,ALMutairi M.,2024,Arabicnlp 2024 2nd Arabic Natural Language Processing Conference Proceedings of the Conference,10.18653/v1/2024.arabicnlp-1.2,5.0,"The increasing use of artificial intelligence in healthcare requires robust datasets for training and validation, particularly in the domain of medical conversations. However, the creation and accessibility of such datasets in Arabic face significant challenges, especially due to the sensitivity and privacy concerns that are associated with medical conversations. These conversations are rarely recorded or preserved, making the availability of comprehensive Arabic medical dialogue datasets scarce. This limitation slows down not only the development of effective natural language processing models but also restricts the opportunity for open comparison of algorithms and their outcomes. Recent advancements in large language models (LLMs) like ChatGPT, GPT-4, Gemini-pro, and Claude-3 show promising capabilities in generating synthetic data. To address this gap, we introduce a novel Multi-Agent LLM approach capable of generating synthetic Arabic medical dialogues from patient notes, regardless of the original language. This development presents a significant step towards overcoming the barriers in dataset availability, enhancing the potential for broader research and application in AI-driven medical dialogue systems. © 2024 Elsevier B.V., All rights reserved.",large language model
2-s2.0-105014774978,evaluating a large language model in translating patient instructions to spanish using a standardized framework,Ray M.,2025,JAMA Pediatrics,10.1001/jamapediatrics.2025.1729,2.0,"Importance: Patients and caregivers who use languages other than English in the US encounter barriers to accessing language-concordant written instructions after clinical visits. Large language models (LLMs), such as OpenAI's GPT-4o, may improve access to translated patient materials; however, rigorous evaluation is needed to ensure clinical standards are met. Objective: To determine whether GPT-4o can generate high-quality Spanish translations of personalized patient instructions comparable to those performed by professional human translators. Design, Setting, and Participants: This cross-sectional study compared LLM translations to professional human translations using equivalence testing. The personalized pediatric instructions used were derived from real clinical encounters at a large US academic medical center and translated between January 2023 and December 2023. Patient instructions in English were translated into Spanish by GPT-4o and professional human translators. The source English texts were translated using GPT-4o on August 2, 2024. Both sets of translations were evaluated by 3 independent professional medical translators. Exposure: Patient instructions were translated using GPT-4o with an engineered prompt, and these translations were compared with those produced by professional human translators. Main Outcomes and Measures: The primary outcome was translation quality, assessed using the Multidimensional Quality Metrics (MQM) framework to generate an overall MQM score (rated on a 0-100 scale). Secondary outcomes included a general preference rating and error rates for types of translation errors. Results: This study included 20 source files of pediatric patient instructions. Equivalence testing showed no significant difference in translation quality between GPT-4o and human translations, with a mean difference of 1.6 points (90% CI, 0.7-2.5), falling within a predefined equivalence margin of plus or minus 5 MQM points. The LLM yielded fewer mistranslation errors, and a mean (SE) of 52% (6%) of professional translator ratings preferred the LLM translations. Conclusions and Relevance: In this cross-sectional study, GPT-4o generated Spanish translations of pediatric patient instructions that were comparable in quality to those by professional human translators as evaluated using a standardized framework. While human review of LLM translation remains essential in health care, these findings suggest that GPT-4o could reduce the translation workload for Spanish, potentially freeing resources to support languages of lesser diffusion. This record is sourced from MEDLINE/PubMed, a database of the U.S. National Library of Medicine",large language model
2-s2.0-105004898457,"llmonfhir: a physician-validated, large language model–based mobile application for querying patient electronic health data",Schmiedmayer P.,2025,Jacc Advances,10.1016/j.jacadv.2025.101780,1.0,"Background: To improve healthcare quality and empower patients, federal legislation requires nationwide interoperability of electronic health records (EHRs) through Fast Healthcare Interoperability Resources (FHIR) application programming interfaces. Nevertheless, key barriers to patient EHR access—limited functionality, English, and health literacy—persist, impeding equitable access to these benefits. Objectives: This study aimed to develop and evaluate a digital health solution to address barriers preventing patient engagement with personal health information, focusing on individuals managing chronic cardiovascular conditions. Methods: We present LLMonFHIR, an open-source mobile application that uses large language models (LLMs) to allow users to “interact” with their health records at any degree of complexity, in various languages, and with bidirectional text-to-speech functionality. In a pilot evaluation, physicians assessed LLMonFHIR responses to queries on 6 SyntheticMass FHIR patient datasets, rating accuracy, understandability, and relevance on a 5-point Likert scale. Results: A total of 210 LLMonFHIR responses were evaluated by physicians, receiving high median scores for accuracy (5/5), understandability (5/5), and relevance (5/5). Challenges summarizing health conditions and retrieving lab results were noted, with variability in responses and occasional omissions underscoring the need for precise preprocessing of data. Conclusions: LLMonFHIR's ability to generate responses in multiple languages and at varying levels of complexity, along with its bidirectional text-to-speech functionality, give it the potential to empower individuals with limited functionality, English, and health literacy to access the benefits of patient-accessible EHRs. © 2025 Elsevier B.V., All rights reserved.",large language model
40966445,bridging language gaps in healthcare: a systematic review of the practical implementation of neural machine translation technologies in clinical settings.,"Ibrahim Serhat Karakus, Inna Strechen, Ankita Gupta, Keivan Nalaie, Christine L Chen, Leslie C Hassett, Amelia K Barwise",2025,Journal of the American Medical Informatics Association : JAMIA,10.1093/jamia/ocaf150,,"Effective communication is crucial in healthcare, and for patients with a non-English language preference (NELP), professional interpreters are recognized as the gold standard in supporting bidirectional communication. However, interpreters are not always readily available, prompting the exploration of other options for translation and interpretation. The recent developments in artificial intelligence-based neural network translation tools, namely neural machine translation (NMT) may enable robust interpretation and translation. We conducted a systematic review (SR) to evaluate the literature on NMT for this purpose. We did a comprehensive search of several databases with guidance from a professional librarian. The search was limited to the year 2000 onwards and English language. Title and abstract screening and full-text review were independently conducted by two reviewers with conflicts resolved by a third reviewer. 2867 studies were identified with 10 studies included in the final analysis. Among these, six evaluated interpretation in real or simulated clinical settings and four examined translation of discharge materials. Google Translate and ChatGPT were assessed in several studies. Accuracy differed by language, with low-resource languages performing worse. NMT technologies in healthcare have several advantages including broad language accessibility and potential cost savings for institutions. Despite improved accuracy of these novel tools, due to possible critical errors NMT tools are not yet ready for widespread clinical use. Future studies should focus on optimizing evaluation methods as well as how best to integrate these technologies into real-time clinical settings.",machine translation
40381580,speech translation for multilingual medical education leveraged by large language models.,"Jorge Iranzo-Sánchez, Jaume Santamaría-Jordà, Gerard Mas-Mollà, Gonçal V Garcés Díaz-Munío, Javier Iranzo-Sánchez, Javier Jorge, Joan Albert Silvestre-Cerdà, Adrià Giménez, Jorge Civera, Albert Sanchis, Alfons Juan",2025,Artificial intelligence in medicine,10.1016/j.artmed.2025.103147,,"The application of large language models (LLMs) to speech translation (ST) or, in general, to machine translation (MT) has recently provided excellent results, superseding conventional encoder-decoder MT systems in the general domain. However, this is not clearly the case when LLMs as MT systems are translating medical-related materials. In this respect, the provision of multilingual training materials for oncology professionals is a goal of the EU project Interact-Europe in which this work was framed. To this end, cross-language technology adapted to the oncology domain was developed, evaluated and deployed for multilingual interspecialty medical education. More precisely, automatic speech recognition (ASR) and MT models were adapted to the oncology domain to translate English pre-recorded training videos, kindly provided by the European School of Oncology (ESO), into French, Spanish, German and Slovene. In this work, three categories of MT models adapted to the medical domain were assessed: bilingual encoder-decoder MT models trained from scratch, pre-trained large multilingual encoder-decoder MT models, and multilingual decoder-only LLMs. The experimental results underline the competitiveness in translation quality of LLMs compared to encoder-decoder MT models. Finally, the ESO speech dataset, comprising roughly 1000 videos and 745 h for the training and evaluation of ASR, MT and ST models, was publicly released for the scientific community.",machine translation
39735785,xmen: a modular toolkit for cross-lingual medical entity normalization.,"Florian Borchert, Ignacio Llorca, Roland Roller, Bert Arnrich, Matthieu-P Schapranow",2025,JAMIA open,10.1093/jamiaopen/ooae147,,"To improve performance of medical entity normalization across many languages, especially when fewer language resources are available compared to English. We propose xMEN, a modular system for cross-lingual (x) medical entity normalization (MEN), accommodating both low- and high-resource scenarios. To account for the scarcity of aliases for many target languages and terminologies, we leverage multilingual aliases via cross-lingual candidate generation. For candidate ranking, we incorporate a trainable cross-encoder (CE) model if annotations for the target task are available. To balance the output of general-purpose candidate generators with subsequent trainable re-rankers, we introduce a novel rank regularization term in the loss function for training CEs. For re-ranking without gold-standard annotations, we introduce multiple new weakly labeled datasets using machine translation and projection of annotations from a high-resource language. xMEN improves the state-of-the-art performance across various benchmark datasets for several European languages. Weakly supervised CEs are effective when no training data is available for the target task. We perform an analysis of normalization errors, revealing that complex entities are still challenging to normalize. New modules and benchmark datasets can be easily integrated in the future. xMEN exhibits strong performance for medical entity normalization in many languages, even when no labeled data and few terminology aliases for the target language are available. To enable reproducible benchmarks in the future, we make the system available as an open-source Python toolkit. The pre-trained models and source code are available online: https://github.com/hpi-dhc/xmen.",machine translation
38732857,automated generation of clinical reports using sensing technologies with deep learning techniques.,"Celia Cabello-Collado, Javier Rodriguez-Juan, David Ortiz-Perez, Jose Garcia-Rodriguez, David Tomás, Maria Flores Vizcaya-Moreno",2024,"Sensors (Basel, Switzerland)",10.3390/s24092751,,"This study presents a pioneering approach that leverages advanced sensing technologies and data processing techniques to enhance the process of clinical documentation generation during medical consultations. By employing sophisticated sensors to capture and interpret various cues such as speech patterns, intonations, or pauses, the system aims to accurately perceive and understand patient-doctor interactions in real time. This sensing capability allows for the automation of transcription and summarization tasks, facilitating the creation of concise and informative clinical documents. Through the integration of automatic speech recognition sensors, spoken dialogue is seamlessly converted into text, enabling efficient data capture. Additionally, deep models such as Transformer models are utilized to extract and analyze crucial information from the dialogue, ensuring that the generated summaries encapsulate the essence of the consultations accurately. Despite encountering challenges during development, experimentation with these sensing technologies has yielded promising results. The system achieved a maximum ROUGE-1 metric score of 0.57, demonstrating its effectiveness in summarizing complex medical discussions. This sensor-based approach aims to alleviate the administrative burden on healthcare professionals by automating documentation tasks and safeguarding important patient information. Ultimately, by enhancing the efficiency and reliability of clinical documentation, this innovative method contributes to improving overall healthcare outcomes.",transformer
38508675,icga-gpt: report generation and question answering for indocyanine green angiography images.,"Xiaolan Chen, Weiyi Zhang, Ziwei Zhao, Pusheng Xu, Yingfeng Zheng, Danli Shi, Mingguang He",2024,The British journal of ophthalmology,10.1136/bjo-2023-324446,,"Indocyanine green angiography (ICGA) is vital for diagnosing chorioretinal diseases, but its interpretation and patient communication require extensive expertise and time-consuming efforts. We aim to develop a bilingual ICGA report generation and question-answering (QA) system. Our dataset comprised 213 129 ICGA images from 2919 participants. The system comprised two stages: image-text alignment for report generation by a multimodal transformer architecture, and large language model (LLM)-based QA with ICGA text reports and human-input questions. Performance was assessed using both qualitative metrics (including Bilingual Evaluation Understudy (BLEU), Consensus-based Image Description Evaluation (CIDEr), Recall-Oriented Understudy for Gisting Evaluation-Longest Common Subsequence (ROUGE-L), Semantic Propositional Image Caption Evaluation (SPICE), accuracy, sensitivity, specificity, precision and F1 score) and subjective evaluation by three experienced ophthalmologists using 5-point scales (5 refers to high quality). We produced 8757 ICGA reports covering 39 disease-related conditions after bilingual translation (66.7% English, 33.3% Chinese). The ICGA-GPT model's report generation performance was evaluated with BLEU scores (1-4) of 0.48, 0.44, 0.40 and 0.37; CIDEr of 0.82; ROUGE of 0.41 and SPICE of 0.18. For disease-based metrics, the average specificity, accuracy, precision, sensitivity and F1 score were 0.98, 0.94, 0.70, 0.68 and 0.64, respectively. Assessing the quality of 50 images (100 reports), three ophthalmologists achieved substantial agreement (kappa=0.723 for completeness, kappa=0.738 for accuracy), yielding scores from 3.20 to 3.55. In an interactive QA scenario involving 100 generated answers, the ophthalmologists provided scores of 4.24, 4.22 and 4.10, displaying good consistency (kappa=0.779). This pioneering study introduces the ICGA-GPT model for report generation and interactive QA for the first time, underscoring the potential of LLMs in assisting with automated ICGA image interpretation.",transformer
38501075,utilizing longitudinal chest x-rays and reports to pre-fill radiology reports.,"Qingqing Zhu, Tejas Sudharshan Mathai, Pritam Mukherjee, Yifan Peng, Ronald M Summers, Zhiyong Lu",2023,Medical image computing and computer-assisted intervention : MICCAI ... International Conference on Medical Image Computing and Computer-Assisted Intervention,10.1007/978-3-031-43904-9_19,,"Despite the reduction in turn-around times in radiology reporting with the use of speech recognition software, persistent communication errors can significantly impact the interpretation of radiology reports. Pre-filling a radiology report holds promise in mitigating reporting errors, and despite multiple efforts in literature to generate comprehensive medical reports, there lacks approaches that exploit the longitudinal nature of patient visit records in the MIMIC-CXR dataset. To address this gap, we propose to use longitudinal multi-modal data, i.e., previous patient visit CXR, current visit CXR, and the previous visit report, to pre-fill the ""findings"" section of the patient's current visit. We first gathered the longitudinal visit information for 26,625 patients from the MIMIC-CXR dataset, and created a new dataset called ",transformer
40815310,from dictation to diagnosis: enhancing radiology reporting with integrated speech recognition in multimodal large language models.,"Roman Johannes Gertz, Nedim Christoph Beste, Thomas Dratsch, Simon Lennartz, Johannes Bremm, Andra-Iza Iuga, Alexander Christian Bunck, Kai Roman Laukamp, Michael Schönfeld, Jonathan Kottlors",2025,European radiology,10.1007/s00330-025-11929-y,,"This study evaluates the efficiency, accuracy, and cost-effectiveness of radiology reporting using audio multimodal large language models (LLMs) compared to conventional reporting with speech recognition software. We hypothesized that providing minimal audio input would enable a multimodal LLM to generate complete radiological reports. 480 reports from 80 retrospective multimodal imaging studies were reported by two board-certified radiologists using three workflows: conventional workflow (C-WF) with speech recognition software to generate findings and impressions separately and LLM-based workflow (LLM-WF) using the state-of-the-art LLMs GPT-4o and Claude Sonnet 3.5. Outcome measures included reporting time, corrections and personnel cost per report. Two radiologists assessed formal structure and report quality. Statistical analysis used ANOVA and Tukey's post hoc tests (p < 0.05). LLM-WF significantly reduced reporting time (GPT-4o/Sonnet 3.5: 38.9 s ± 22.7 s vs. C-WF: 88.0 s ± 60.9 s, p < 0.01), required fewer corrections (GPT-4o: 1.0 ± 1.1, Sonnet 3.5: 0.9 ± 1.0 vs. C-WF: 2.4 ± 2.5, p < 0.01), and lowered costs (GPT-4o: $2.3 ± $1.4, Sonnet 3.5: $2.4 ± $1.4 vs. C-WF: $3.0 ± $2.1, p < 0.01). Reports generated with Sonnet 3.5 were rated highest in quality, while GPT-4o and conventional reports showed no difference. Multimodal LLMs can generate high-quality radiology reports based solely on minimal audio input, with greater speed, fewer corrections, and reduced costs compared to conventional speech-based workflows. However, future implementation may involve licensing costs, and generalizability to broader clinical contexts warrants further evaluation. Question Comparing time, accuracy, cost, and report quality of reporting using audio input functionality of GPT-4o and Claude Sonnet 3.5 to conventional reporting with speech recognition. Findings Large language models enable radiological reporting via minimal audio input, reducing turnaround time and costs without quality loss compared to conventional reporting with speech recognition. Clinical relevance Large language model-based reporting from minimal audio input has the potential to improve efficiency and report quality, supporting more streamlined workflows in clinical radiology.",large language model
40620478,conversational health agents: a personalized large language model-powered agent framework.,"Mahyar Abbasian, Iman Azimi, Amir M Rahmani, Ramesh Jain",2025,JAMIA open,10.1093/jamiaopen/ooaf067,,"Conversational Health Agents (CHAs) are interactive systems providing healthcare services, such as assistance and diagnosis. Current CHAs, especially those utilizing Large Language Models (LLMs), primarily focus on conversation aspects. However, they offer limited agent capabilities, specifically needing more multistep problem-solving, personalized conversations, and multimodal data analysis. We aim to overcome these limitations. We propose openCHA, an open-source LLM-powered framework, designed to enable the development of conversational agents. OpenCHA offers a foundational and structured architecture and codebase, enabling researchers and developers to build and customize their CHA based on the specifics of their intended application. The framework leverages knowledge acquisition, problem-solving capabilities, multilingual, and multimodal conversations, and allows interaction with various AI platforms. We have released the framework as open source for the community on GitHub (https://github.com/Institute4FutureHealth/CHA and https://opencha.com). We demonstrated the openCHA's capability to develop CHAs across multiple health domains using 2 demos and 5 use cases. In diabetic patient management, developed CHA achieved a 92.1% accuracy rate, surpassing GPT4's 51.8%. In food recommendations, developed CHA outperformed GPT4. The developed CHA excelled as an evaluator for mental health chatbots, recording the lowest Mean Absolute Error at 0.31, compared to competitors like GPT, Misteral, Gemini, and Claude. Additionally, the empathy enabled CHA identified emotional states with 89% accuracy, and in physiological data analysis of heart rate from Photoplethysmography (PPG) signals, the developed CHA achieved an mean absolute error of 2.83, far lower than GPT-4o's 8.93. The openCHA framework enhances CHAs by enabling features such as explainability, personalization, and reliability through its integration with LLMs and external data sources. The developed CHAs face challenges like latency, token limits, and scalability. Future efforts will focus on improving planning robustness, enhancing accuracy and evaluation methods, and resolving user query ambiguity to further refine the framework's effectiveness. The diverse demos and use cases of openCHA demonstrate the framework's capacity to empower the development of a wide range of CHAs for various healthcare tasks.",large language model
40291306,inspired spine smart universal resource identifier (suri): an adaptive ai framework for transforming multilingual speech into structured medical reports.,"Jiawen Zhan, Dominic Moore, Yuanzhe Lu, Hamid Abbasi",2025,Cureus,10.7759/cureus.81243,,"Medical documentation is a major part of delivering healthcare worldwide and is gaining more importance in developing countries as well. The global spread of multilingual communities in medical documentation poses unique challenges, particularly regarding maintaining accuracy and consistency across diverse languages. Inspired Spine Smart Universal Resource Identifier (SURI), an adaptive artificial intelligence (AI) framework, addresses these challenges by transforming multilingual speech into structured medical reports. Utilizing state-of-the-art automatic speech recognition (ASR) and natural language processing (NLP) technologies, SURI converts doctor-patient dialogues into detailed clinical documentation. This paper presents SURI's development, focusing on its multilingual capabilities, effective report generation, and continuous improvement through real-time feedback. Our evaluation indicates a 60% reduction in documentation errors and a 70% decrease in time spent on medical reporting compared to traditional methods. SURI not only provides a practical solution to a pressing issue in healthcare but also sets a benchmark for integrating AI into medical communication workflows.",large language model
37808815,voice-enabled response analysis agent (veraa): leveraging large language models to map voice responses in sdoh survey.,"Rishivardhan Krishnamoorthy, Vishal Nagarajan, Hayden Pour, Supreeth P Shashikumar, Aaron Boussina, Emilia Farcas, Shamim Nemati, Christopher S Josef",2023,medRxiv : the preprint server for health sciences,10.1101/2023.09.25.23295917,,"Social Determinants of Health (SDoH) have been shown to have profound impacts on health-related outcomes, yet this data suffers from high rates of missingness in electronic health records (EHR). Moreover, limited English proficiency in the United States can be a barrier to communication with health care providers. In this study, we have designed a multilingual conversational agent capable of conducting SDoH surveys for use in healthcare environments. The agent asks questions in the patient's native language, translates responses into English, and subsequently maps these responses via a large language model (LLM) to structured options in a SDoH survey. This tool can be extended to a variety of survey instruments in either hospital or home settings, enabling the extraction of structured insights from free-text answers. The proposed approach heralds a shift towards more inclusive and insightful data collection, marking a significant stride in SDoH data enrichment for optimizing health outcome predictions and interventions.",large language model
